index,avalanche_problem_1_cause_id,avalanche_problem_1_destructive_size_ext_id,avalanche_problem_1_distribution_id,avalanche_problem_1_exposed_height_1,avalanche_problem_1_exposed_height_2,avalanche_problem_1_ext_id,avalanche_problem_1_probability_id,avalanche_problem_1_problem_id,avalanche_problem_1_problem_type_id,avalanche_problem_1_trigger_simple_id,avalanche_problem_1_type_id,avalanche_problem_2_cause_id,avalanche_problem_2_destructive_size_ext_id,avalanche_problem_2_distribution_id,avalanche_problem_2_exposed_height_1,avalanche_problem_2_exposed_height_2,avalanche_problem_2_ext_id,avalanche_problem_2_probability_id,avalanche_problem_2_problem_id,avalanche_problem_2_problem_type_id,avalanche_problem_2_trigger_simple_id,avalanche_problem_2_type_id,avalanche_problem_3_cause_id,avalanche_problem_3_destructive_size_ext_id,avalanche_problem_3_distribution_id,avalanche_problem_3_exposed_height_1,avalanche_problem_3_exposed_height_2,avalanche_problem_3_ext_id,avalanche_problem_3_probability_id,avalanche_problem_3_problem_id,avalanche_problem_3_problem_type_id,avalanche_problem_3_trigger_simple_id,avalanche_problem_3_type_id,danger_level,date_valid,mountain_weather_freezing_level,mountain_weather_precip_most_exposed,mountain_weather_precip_region,mountain_weather_temperature_elevation,mountain_weather_temperature_max,mountain_weather_temperature_min,region_id,region_type_id,mountain_weather_wind_speed_num,mountain_weather_wind_direction_num,avalanche_problem_1_problem_type_id_class,avalanche_problem_1_sensitivity_id_class,avalanche_problem_1_trigger_simple_id_class,avalanche_problem_2_problem_type_id_class,avalanche_problem_2_sensitivity_id_class,avalanche_problem_2_trigger_simple_id_class,avalanche_problem_3_problem_type_id_class,avalanche_problem_3_sensitivity_id_class,avalanche_problem_3_trigger_simple_id_class,region_group_id,danger_level_prevday,danger_level_name_prevday,mountain_weather_precip_region_prev1day,mountain_weather_precip_most_exposed_prev1day,mountain_weather_precip_region_prev3daysum,aval_problem_1_combined,emergency_warning_Ikke gitt,emergency_warning_Naturlig utløste skred,author_Andreas@nve,author_Espen Granan,author_EspenN,author_Halvor@NVE,author_HåvardT@met,author_Ida@met,author_Ingrid@NVE,author_John Smits,author_JonasD@ObsKorps,author_Jørgen@obskorps,author_Karsten@NVE,author_MSA@nortind,author_Ragnar@NVE,author_Ronny@NVE,author_Silje@svv,author_Tommy@NVE,author_ToreV@met,author_anitaaw@met,author_emma@nve,author_haso@nve.no,author_hrb@nve.no,author_jan arild@obskorps,author_jegu@NVE,author_jostein@nve,author_knutinge@svv,author_martin@svv,author_ragnhildn@met,author_rue@nve,author_siri@met,author_torehum@svv,author_torolav@obskorps,mountain_weather_wind_direction_E,mountain_weather_wind_direction_N,mountain_weather_wind_direction_NE,mountain_weather_wind_direction_NW,mountain_weather_wind_direction_None,mountain_weather_wind_direction_S,mountain_weather_wind_direction_SE,mountain_weather_wind_direction_SW,mountain_weather_wind_direction_W,danger_level_prev1day,danger_level_name_prev1day,danger_level_prev2day,danger_level_name_prev2day,danger_level_prev3day,danger_level_name_prev3day
0,15,2,1,0,0,20,3,1,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017-12-01,0.0,4.0,2.0,500.0,-9.0,-14.0,3003,10,4,1,6,2,1,0,0,0,0,0,0,0,,,0.0,0.0,0.0,6122,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,
1,10,2,2,400,0,20,3,1,10,21,10,19,2,2,400,0,20,3,2,30,21,10,0,0,0,0,0,0,0,0,0,0,0,2,2017-12-01,0.0,8.0,2.0,1100.0,-3.0,-10.0,3007,10,7,4,6,3,2,7,3,2,0,0,0,1,1.0,1 Liten,2.0,4.0,0.0,6232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1 Liten,,,,
2,10,2,2,400,0,20,3,1,10,21,10,19,2,2,400,0,20,3,2,30,21,10,0,0,0,0,0,0,0,0,0,0,0,2,2017-12-01,0.0,6.0,3.0,1100.0,-4.0,-15.0,3009,10,7,4,6,3,2,7,3,2,0,0,0,2,2.0,2 Moderat,2.0,8.0,0.0,6232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,2 Moderat,1.0,1 Liten,,
3,10,2,2,400,0,20,3,1,10,21,10,19,2,2,400,0,20,3,2,30,21,10,0,0,0,0,0,0,0,0,0,0,0,2,2017-12-01,0.0,10.0,7.0,1400.0,-3.0,-10.0,3010,10,7,5,6,3,2,7,3,2,0,0,0,2,2.0,2 Moderat,3.0,6.0,7.0,6232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2 Moderat,2.0,2 Moderat,1.0,1 Liten
4,10,2,2,400,0,20,3,1,10,21,10,19,2,2,400,0,20,3,2,30,21,10,0,0,0,0,0,0,0,0,0,0,0,2,2017-12-01,500.0,10.0,6.0,700.0,1.0,-6.0,3011,10,7,5,6,3,2,7,3,2,0,0,0,2,2.0,2 Moderat,7.0,10.0,12.0,6232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2 Moderat,2.0,2 Moderat,2.0,2 Moderat
5,10,2,2,400,0,20,3,1,10,21,10,19,2,2,500,200,20,3,2,30,21,10,0,0,0,0,0,0,0,0,0,0,0,2,2017-12-01,500.0,14.0,8.0,1100.0,-1.0,-8.0,3012,10,7,5,6,3,2,7,3,2,0,0,0,2,2.0,2 Moderat,6.0,10.0,16.0,6232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2 Moderat,2.0,2 Moderat,2.0,2 Moderat
6,10,2,2,400,0,20,3,1,10,21,10,19,2,2,500,0,20,3,2,30,21,10,0,0,0,0,0,0,0,0,0,0,0,2,2017-12-01,0.0,10.0,4.0,1100.0,-4.0,-16.0,3013,10,5,5,6,3,2,7,3,2,0,0,0,2,2.0,2 Moderat,8.0,14.0,21.0,6232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2 Moderat,2.0,2 Moderat,2.0,2 Moderat
7,10,2,2,400,0,20,3,1,10,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2017-12-01,600.0,25.0,12.0,700.0,2.0,-5.0,3014,10,8,6,6,3,2,0,0,0,0,0,0,3,2.0,2 Moderat,4.0,10.0,18.0,6232,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,2 Moderat,2.0,2 Moderat,2.0,2 Moderat
8,19,2,2,700,0,20,3,1,30,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2017-12-01,500.0,18.0,9.0,1400.0,-4.0,-13.0,3015,10,7,5,7,2,1,0,0,0,0,0,0,3,2.0,2 Moderat,12.0,25.0,24.0,7222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2 Moderat,2.0,2 Moderat,2.0,2 Moderat
9,10,2,2,400,0,20,3,1,10,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2017-12-01,400.0,20.0,10.0,1400.0,-5.0,-16.0,3016,10,7,5,6,3,2,0,0,0,0,0,0,3,2.0,2 Moderat,9.0,18.0,25.0,6232,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2 Moderat,2.0,2 Moderat,2.0,2 Moderat
