index,AvalancheProblems_0_AvalProbabilityId,AvalancheProblems_0_Class_AvalDistributionId,AvalancheProblems_0_AvalTriggerSimpleId,AvalancheProblems_0_AvalancheProblemId,AvalancheProblems_0_Class_AvalancheProblemTypeId,AvalancheProblems_0_AvalancheTypeId,AvalancheProblems_0_DestructiveSizeExtId,AvalancheProblems_1_AvalProbabilityId,AvalancheProblems_1_Class_AvalDistributionId,AvalancheProblems_1_AvalTriggerSimpleId,AvalancheProblems_1_AvalancheProblemId,AvalancheProblems_1_Class_AvalancheProblemTypeId,AvalancheProblems_1_AvalancheTypeId,AvalancheProblems_1_DestructiveSizeExtId,DangerLevel,ValidFrom,Rainfall_Most_exposed_area,Rainfall_Average,Wind_Speed_Num,Wind_Direction_Num,Temperature_Min,Temperature_Max,Temperature_masl,Freezing_Level_masl
0,3,1,10,1,6,10,2,0.0,0,0.0,0.0,0,0.0,0.0,1,2017-12-01T00:00:00,8,4,4,6,-16,-2,1400,0
1,3,2,21,1,7,10,2,0.0,0,0.0,0.0,0,0.0,0.0,2,2017-12-02T00:00:00,16,9,6,7,-5,1,1400,1200
2,3,2,21,1,7,10,3,0.0,0,0.0,0.0,0,0.0,0.0,3,2017-12-03T00:00:00,20,16,6,8,-8,-3,1400,500
3,3,2,21,1,7,10,3,0.0,0,0.0,0.0,0,0.0,0.0,3,2017-12-04T00:00:00,20,12,5,8,-9,-4,1400,300
4,3,3,21,1,5,10,2,3.0,2,22.0,3.0,2,20.0,1.0,3,2017-12-05T00:00:00,30,15,6,8,-9,-1,1400,700
5,3,2,21,1,5,10,3,3.0,2,22.0,2.0,1,20.0,2.0,3,2017-12-06T00:00:00,8,5,4,4,-12,-2,1400,600
6,3,2,21,2,5,10,2,3.0,2,22.0,1.0,4,10.0,2.0,2,2017-12-07T00:00:00,10,5,6,6,-6,4,1400,1800
7,3,2,21,1,5,10,2,0.0,0,0.0,0.0,0,0.0,0.0,2,2017-12-08T00:00:00,20,8,5,6,-7,-3,1400,600
8,3,2,22,1,5,10,3,0.0,0,0.0,0.0,0,0.0,0.0,3,2017-12-09T00:00:00,50,30,5,7,-8,-3,1400,600
9,3,2,21,1,5,10,3,3.0,2,21.0,2.0,6,10.0,2.0,3,2017-12-10T00:00:00,2,0,5,5,-14,-6,1400,200
10,3,2,10,1,6,10,3,0.0,0,0.0,0.0,0,0.0,0.0,2,2017-12-11T00:00:00,0,0,4,5,-19,-8,1400,0
11,3,2,21,1,6,10,2,0.0,0,0.0,0.0,0,0.0,0.0,2,2017-12-12T00:00:00,8,3,5,6,-20,-7,1400,0
12,3,2,21,1,5,10,2,3.0,2,22.0,2.0,2,20.0,2.0,2,2017-12-13T00:00:00,15,2,6,7,-12,-4,1400,300
13,3,2,21,1,5,10,2,0.0,0,0.0,0.0,0,0.0,0.0,2,2017-12-14T00:00:00,0,0,4,4,-16,-5,1400,200
