index,AvalancheProblems_0_AvalProbabilityId,AvalancheProblems_0_Class_AvalDistributionId,AvalancheProblems_0_AvalTriggerSimpleId,AvalancheProblems_0_AvalancheProblemId,AvalancheProblems_0_Class_AvalancheProblemTypeId,AvalancheProblems_0_AvalancheTypeId,AvalancheProblems_0_DestructiveSizeExtId,AvalancheProblems_1_Class_AvalDistributionId,AvalancheProblems_1_Class_AvalancheProblemTypeId,ValidFrom,Wind_Speed_Num,Wind_Direction_Num,Temperature_masl
150,3,2,10,1,6,10,2,2,2,2018-04-30T00:00:00,4,4,1800
30,3,2,10,1,6,10,2,1,7,2017-12-31T00:00:00,4,5,1800
208,3,2,21,1,6,10,2,0,0,2017-12-27T00:00:00,6,7,1400
342,3,2,22,1,2,20,2,1,4,2018-05-10T00:00:00,6,4,1400
288,2,2,10,2,7,10,3,3,6,2018-03-17T00:00:00,2,0,1400
55,3,3,21,1,5,10,2,2,7,2018-01-25T00:00:00,9,7,1800
449,3,2,10,1,6,10,2,2,7,2018-02-24T00:00:00,2,4,1400
13,3,2,21,2,6,10,1,2,7,2017-12-14T00:00:00,5,4,1800
364,3,1,10,1,6,10,2,0,0,2017-12-01T00:00:00,4,1,1400
228,3,2,21,1,6,10,3,2,7,2018-01-16T00:00:00,6,4,1400
335,3,2,21,1,6,10,2,2,2,2018-05-03T00:00:00,5,4,1400
186,3,2,21,2,5,10,2,2,4,2017-12-05T00:00:00,6,7,1400
514,3,2,22,1,2,20,2,0,0,2018-04-30T00:00:00,4,3,1400
388,3,2,21,1,6,10,2,0,0,2017-12-25T00:00:00,4,6,1400
85,3,2,10,1,6,10,2,3,7,2018-02-24T00:00:00,2,6,1800
63,3,2,21,1,6,10,2,1,7,2018-02-02T00:00:00,5,2,1800
269,3,2,21,1,5,10,2,2,7,2018-02-26T00:00:00,4,2,1400
414,3,2,21,3,6,10,2,2,7,2018-01-20T00:00:00,4,4,1400
188,3,2,10,1,6,10,2,2,4,2017-12-07T00:00:00,7,6,1400
368,3,2,21,2,5,10,2,2,4,2017-12-05T00:00:00,7,7,1400
405,3,2,10,1,6,10,2,1,7,2018-01-11T00:00:00,6,3,1400
8,3,2,21,1,6,10,2,0,0,2017-12-09T00:00:00,6,7,1800
528,3,2,21,1,2,20,1,0,0,2018-05-14T00:00:00,4,4,1400
538,3,1,21,1,2,20,1,0,0,2018-05-24T00:00:00,4,6,1400
493,3,2,21,1,6,10,2,2,4,2018-04-09T00:00:00,4,3,1400
187,3,2,10,1,5,10,2,2,4,2017-12-06T00:00:00,4,4,1400
442,3,2,21,1,6,10,3,3,7,2018-02-17T00:00:00,4,6,1400
141,3,2,22,1,2,20,2,1,5,2018-04-21T00:00:00,8,7,1800
