# Theme: sd; Fullname: Snødybde v2.0.1; NoDataValue: 65535; X: 113593; Y: 6751788; Startdate: 29.08.2019 06:00:00; Enddate: 14.10.2020 06:00:00; PrognoseStartDate: ; Unit: cm; TimeResolution: 1440; Altitude: 1345;
Date;sd(cm)
29.08.2019 06:00:00;0
30.08.2019 06:00:00;0
31.08.2019 06:00:00;0
01.09.2019 06:00:00;0
02.09.2019 06:00:00;0
03.09.2019 06:00:00;0
04.09.2019 06:00:00;0
05.09.2019 06:00:00;0
06.09.2019 06:00:00;0
07.09.2019 06:00:00;0
08.09.2019 06:00:00;0
09.09.2019 06:00:00;0
10.09.2019 06:00:00;0
11.09.2019 06:00:00;0
12.09.2019 06:00:00;0
13.09.2019 06:00:00;0
14.09.2019 06:00:00;0
15.09.2019 06:00:00;0
16.09.2019 06:00:00;4
17.09.2019 06:00:00;4
18.09.2019 06:00:00;3.9
19.09.2019 06:00:00;3.8
20.09.2019 06:00:00;3.2
21.09.2019 06:00:00;0
22.09.2019 06:00:00;0
23.09.2019 06:00:00;0
24.09.2019 06:00:00;0
25.09.2019 06:00:00;0
26.09.2019 06:00:00;0
27.09.2019 06:00:00;0
28.09.2019 06:00:00;0
29.09.2019 06:00:00;0
30.09.2019 06:00:00;0
01.10.2019 06:00:00;3.3
02.10.2019 06:00:00;5.9
03.10.2019 06:00:00;5.2
04.10.2019 06:00:00;8.2
05.10.2019 06:00:00;8.2
06.10.2019 06:00:00;8.1
07.10.2019 06:00:00;8
08.10.2019 06:00:00;10.8
09.10.2019 06:00:00;13.2
10.10.2019 06:00:00;14.9
11.10.2019 06:00:00;15.8
12.10.2019 06:00:00;16.2
13.10.2019 06:00:00;16.4
14.10.2019 06:00:00;17.3
15.10.2019 06:00:00;17.1
16.10.2019 06:00:00;19.4
17.10.2019 06:00:00;20.2
18.10.2019 06:00:00;23.4
19.10.2019 06:00:00;24.9
20.10.2019 06:00:00;25.7
21.10.2019 06:00:00;25.5
22.10.2019 06:00:00;25.3
23.10.2019 06:00:00;22.3
24.10.2019 06:00:00;20.7
25.10.2019 06:00:00;17.7
26.10.2019 06:00:00;18
27.10.2019 06:00:00;17.9
28.10.2019 06:00:00;17.8
29.10.2019 06:00:00;17.7
30.10.2019 06:00:00;17.6
31.10.2019 06:00:00;17.5
01.11.2019 06:00:00;17.7
02.11.2019 06:00:00;17.6
03.11.2019 06:00:00;17.5
04.11.2019 06:00:00;17.4
05.11.2019 06:00:00;17.3
06.11.2019 06:00:00;17.2
07.11.2019 06:00:00;17.4
08.11.2019 06:00:00;17.3
09.11.2019 06:00:00;20.6
10.11.2019 06:00:00;21.1
11.11.2019 06:00:00;21.5
12.11.2019 06:00:00;22.9
13.11.2019 06:00:00;26.3
14.11.2019 06:00:00;26.5
15.11.2019 06:00:00;26.4
16.11.2019 06:00:00;26.3
17.11.2019 06:00:00;31.2
18.11.2019 06:00:00;30.8
19.11.2019 06:00:00;46.1
20.11.2019 06:00:00;45
21.11.2019 06:00:00;44.3
22.11.2019 06:00:00;45.7
23.11.2019 06:00:00;47.3
24.11.2019 06:00:00;47.3
25.11.2019 06:00:00;46.3
26.11.2019 06:00:00;45.8
27.11.2019 06:00:00;46.2
28.11.2019 06:00:00;47.4
29.11.2019 06:00:00;51.3
30.11.2019 06:00:00;52.4
01.12.2019 06:00:00;53.4
02.12.2019 06:00:00;53.3
03.12.2019 06:00:00;52.8
04.12.2019 06:00:00;53.1
05.12.2019 06:00:00;53
06.12.2019 06:00:00;57.5
07.12.2019 06:00:00;59.5
08.12.2019 06:00:00;65.9
09.12.2019 06:00:00;72
10.12.2019 06:00:00;72.2
11.12.2019 06:00:00;75.7
12.12.2019 06:00:00;75.3
13.12.2019 06:00:00;73.9
14.12.2019 06:00:00;74.3
15.12.2019 06:00:00;75.5
16.12.2019 06:00:00;77.3
17.12.2019 06:00:00;76.2
18.12.2019 06:00:00;75.1
19.12.2019 06:00:00;74
20.12.2019 06:00:00;82.1
21.12.2019 06:00:00;85
22.12.2019 06:00:00;84.3
23.12.2019 06:00:00;83.1
24.12.2019 06:00:00;85.1
25.12.2019 06:00:00;84.2
26.12.2019 06:00:00;83.2
27.12.2019 06:00:00;82.3
28.12.2019 06:00:00;81.9
29.12.2019 06:00:00;80.9
30.12.2019 06:00:00;78.9
31.12.2019 06:00:00;80.1
01.01.2020 06:00:00;79.2
02.01.2020 06:00:00;78.3
03.01.2020 06:00:00;80.6
04.01.2020 06:00:00;90.2
05.01.2020 06:00:00;90.3
06.01.2020 06:00:00;89.8
07.01.2020 06:00:00;89.3
08.01.2020 06:00:00;99.6
09.01.2020 06:00:00;104.4
10.01.2020 06:00:00;103.2
11.01.2020 06:00:00;102.9
12.01.2020 06:00:00;111.7
13.01.2020 06:00:00;113.5
14.01.2020 06:00:00;114
15.01.2020 06:00:00;114.6
16.01.2020 06:00:00;115.3
17.01.2020 06:00:00;118.4
18.01.2020 06:00:00;117.6
19.01.2020 06:00:00;117
20.01.2020 06:00:00;116.1
21.01.2020 06:00:00;117.6
22.01.2020 06:00:00;117.2
23.01.2020 06:00:00;116.3
24.01.2020 06:00:00;115.4
25.01.2020 06:00:00;117.9
26.01.2020 06:00:00;116.7
27.01.2020 06:00:00;117
28.01.2020 06:00:00;117.7
29.01.2020 06:00:00;119.8
30.01.2020 06:00:00;119.5
31.01.2020 06:00:00;121.8
01.02.2020 06:00:00;123.9
02.02.2020 06:00:00;123.2
03.02.2020 06:00:00;122.4
04.02.2020 06:00:00;123.7
05.02.2020 06:00:00;123.8
06.02.2020 06:00:00;126.2
07.02.2020 06:00:00;125.1
08.02.2020 06:00:00;124.2
09.02.2020 06:00:00;124.1
10.02.2020 06:00:00;125.8
11.02.2020 06:00:00;125.8
12.02.2020 06:00:00;128.7
13.02.2020 06:00:00;129.7
14.02.2020 06:00:00;128.9
15.02.2020 06:00:00;128.6
16.02.2020 06:00:00;135.8
17.02.2020 06:00:00;140.4
18.02.2020 06:00:00;148.7
19.02.2020 06:00:00;150.8
20.02.2020 06:00:00;150.2
21.02.2020 06:00:00;154.1
22.02.2020 06:00:00;161.3
23.02.2020 06:00:00;167.8
24.02.2020 06:00:00;167.8
25.02.2020 06:00:00;166
26.02.2020 06:00:00;164.4
27.02.2020 06:00:00;163.1
28.02.2020 06:00:00;162.3
29.02.2020 06:00:00;162.5
01.03.2020 06:00:00;174.3
02.03.2020 06:00:00;178.2
03.03.2020 06:00:00;175.6
04.03.2020 06:00:00;179.6
05.03.2020 06:00:00;179.6
06.03.2020 06:00:00;177.7
07.03.2020 06:00:00;175.8
08.03.2020 06:00:00;181.1
09.03.2020 06:00:00;182.7
10.03.2020 06:00:00;180.4
11.03.2020 06:00:00;188.6
12.03.2020 06:00:00;188.7
13.03.2020 06:00:00;188
14.03.2020 06:00:00;186.6
15.03.2020 06:00:00;188.3
16.03.2020 06:00:00;187.8
17.03.2020 06:00:00;188
18.03.2020 06:00:00;188.6
19.03.2020 06:00:00;187.4
20.03.2020 06:00:00;186.2
21.03.2020 06:00:00;185
22.03.2020 06:00:00;183.9
23.03.2020 06:00:00;182.7
24.03.2020 06:00:00;182.2
25.03.2020 06:00:00;180.7
26.03.2020 06:00:00;179.2
27.03.2020 06:00:00;177.9
28.03.2020 06:00:00;177
29.03.2020 06:00:00;176.3
30.03.2020 06:00:00;175.9
31.03.2020 06:00:00;175.1
01.04.2020 06:00:00;174.2
02.04.2020 06:00:00;175
03.04.2020 06:00:00;177.8
04.04.2020 06:00:00;178.3
05.04.2020 06:00:00;178.2
06.04.2020 06:00:00;177.5
07.04.2020 06:00:00;178.6
08.04.2020 06:00:00;179.1
09.04.2020 06:00:00;182.9
10.04.2020 06:00:00;184.9
11.04.2020 06:00:00;184
12.04.2020 06:00:00;185
13.04.2020 06:00:00;185.8
14.04.2020 06:00:00;185.1
15.04.2020 06:00:00;185
16.04.2020 06:00:00;186
17.04.2020 06:00:00;185.1
18.04.2020 06:00:00;184.3
19.04.2020 06:00:00;183.4
20.04.2020 06:00:00;181.8
21.04.2020 06:00:00;177.6
22.04.2020 06:00:00;174.6
23.04.2020 06:00:00;171.9
24.04.2020 06:00:00;169.9
25.04.2020 06:00:00;169.2
26.04.2020 06:00:00;168.4
27.04.2020 06:00:00;170.2
28.04.2020 06:00:00;173.6
29.04.2020 06:00:00;173.1
30.04.2020 06:00:00;172.8
01.05.2020 06:00:00;177.1
02.05.2020 06:00:00;177
03.05.2020 06:00:00;176.4
04.05.2020 06:00:00;175.6
05.05.2020 06:00:00;175
06.05.2020 06:00:00;174.3
07.05.2020 06:00:00;173.6
08.05.2020 06:00:00;173
09.05.2020 06:00:00;172.6
10.05.2020 06:00:00;173.4
11.05.2020 06:00:00;175.1
12.05.2020 06:00:00;175.7
13.05.2020 06:00:00;175.4
14.05.2020 06:00:00;175.2
15.05.2020 06:00:00;175.4
16.05.2020 06:00:00;176.2
17.05.2020 06:00:00;177.9
18.05.2020 06:00:00;177.5
19.05.2020 06:00:00;177
20.05.2020 06:00:00;176.5
21.05.2020 06:00:00;174.8
22.05.2020 06:00:00;169.8
23.05.2020 06:00:00;167.2
24.05.2020 06:00:00;165.7
25.05.2020 06:00:00;163
26.05.2020 06:00:00;158.4
27.05.2020 06:00:00;154.8
28.05.2020 06:00:00;154.5
29.05.2020 06:00:00;154.1
30.05.2020 06:00:00;149.6
31.05.2020 06:00:00;144.2
01.06.2020 06:00:00;138.6
02.06.2020 06:00:00;132.8
03.06.2020 06:00:00;127.5
04.06.2020 06:00:00;122.2
05.06.2020 06:00:00;118.1
06.06.2020 06:00:00;114.5
07.06.2020 06:00:00;110.7
08.06.2020 06:00:00;106.9
09.06.2020 06:00:00;102.4
10.06.2020 06:00:00;97.6
11.06.2020 06:00:00;92.4
12.06.2020 06:00:00;87.1
13.06.2020 06:00:00;80.6
14.06.2020 06:00:00;74.4
15.06.2020 06:00:00;68.9
16.06.2020 06:00:00;62.4
17.06.2020 06:00:00;56.6
18.06.2020 06:00:00;50.7
19.06.2020 06:00:00;45.1
20.06.2020 06:00:00;39.7
21.06.2020 06:00:00;34.7
22.06.2020 06:00:00;31.2
23.06.2020 06:00:00;28
24.06.2020 06:00:00;24.3
25.06.2020 06:00:00;20.3
26.06.2020 06:00:00;17
27.06.2020 06:00:00;13.6
28.06.2020 06:00:00;10.7
29.06.2020 06:00:00;8.6
30.06.2020 06:00:00;7.1
01.07.2020 06:00:00;5.5
02.07.2020 06:00:00;4.5
03.07.2020 06:00:00;4.1
04.07.2020 06:00:00;6.2
05.07.2020 06:00:00;3.7
06.07.2020 06:00:00;2.6
07.07.2020 06:00:00;2.2
08.07.2020 06:00:00;1.8
09.07.2020 06:00:00;1.4
10.07.2020 06:00:00;0.9
11.07.2020 06:00:00;0.4
12.07.2020 06:00:00;0
13.07.2020 06:00:00;0
14.07.2020 06:00:00;0
15.07.2020 06:00:00;0
16.07.2020 06:00:00;0
17.07.2020 06:00:00;0
18.07.2020 06:00:00;0
19.07.2020 06:00:00;0
20.07.2020 06:00:00;0
21.07.2020 06:00:00;0
22.07.2020 06:00:00;0
23.07.2020 06:00:00;0
24.07.2020 06:00:00;0
25.07.2020 06:00:00;0
26.07.2020 06:00:00;0
27.07.2020 06:00:00;0
28.07.2020 06:00:00;0
29.07.2020 06:00:00;0
30.07.2020 06:00:00;0
31.07.2020 06:00:00;0
01.08.2020 06:00:00;0
02.08.2020 06:00:00;0
03.08.2020 06:00:00;0
04.08.2020 06:00:00;0
05.08.2020 06:00:00;0
06.08.2020 06:00:00;0
07.08.2020 06:00:00;0
08.08.2020 06:00:00;0
09.08.2020 06:00:00;0
10.08.2020 06:00:00;0
11.08.2020 06:00:00;0
12.08.2020 06:00:00;0
13.08.2020 06:00:00;0
14.08.2020 06:00:00;0
15.08.2020 06:00:00;0
16.08.2020 06:00:00;0
17.08.2020 06:00:00;0
18.08.2020 06:00:00;0
19.08.2020 06:00:00;0
20.08.2020 06:00:00;0
21.08.2020 06:00:00;0
22.08.2020 06:00:00;0
23.08.2020 06:00:00;0
24.08.2020 06:00:00;0
25.08.2020 06:00:00;0
26.08.2020 06:00:00;0
27.08.2020 06:00:00;0
28.08.2020 06:00:00;0
29.08.2020 06:00:00;0
30.08.2020 06:00:00;0
31.08.2020 06:00:00;0
01.09.2020 06:00:00;0
02.09.2020 06:00:00;0
03.09.2020 06:00:00;0
04.09.2020 06:00:00;0
